"A1.fasta" "A2.fasta" "A3.fasta" "A4.fasta" "B1.fasta" "B2.fasta" "B3.fasta" "B4.fasta" "C1.fasta" "C2.fasta" "C3.fasta" "C4.fasta"
"A1.fasta" 0 0.115904842863345 0.126967478013703 0.121550219168823 0.227211691631973 0.161170181666856 0.147396632615125 0.194694113857818 0.267057978132056 0.226269051493597 0.20281282328081 0.203254495076256
"A2.fasta" 0.115904842863345 0 0.0728980006442491 0.09674253466288 0.269031791103151 0.195012520146421 0.20315425746268 0.21819693409056 0.32111294078503 0.274596174961634 0.251018190061533 0.270039734350689
"A3.fasta" 0.126967478013703 0.0728980006442491 0 0.113917722139634 0.275010300943087 0.195975909014204 0.185271786330219 0.208217457898199 0.30903989910505 0.263733029368876 0.242150653403321 0.261627408613198
"A4.fasta" 0.121550219168823 0.09674253466288 0.113917722139634 0 0.291686419118308 0.218236848440175 0.227409679529758 0.247104106402341 0.332673416600537 0.287747181070771 0.26073481239094 0.28890408714088
"B1.fasta" 0.227211691631973 0.269031791103151 0.275010300943087 0.291686419118308 0 0.103380505552553 0.118054889276809 0.0843654123668265 0.23605204974733 0.208255448951344 0.183945208200072 0.190108726793288
"B2.fasta" 0.161170181666856 0.195012520146421 0.195975909014204 0.218236848440175 0.103380505552553 0 0.0965234062313786 0.0665678793238185 0.196617254017899 0.173780523983096 0.140252418994812 0.143778548137714
"B3.fasta" 0.147396632615125 0.20315425746268 0.185271786330219 0.227409679529758 0.118054889276809 0.0965234062313786 0 0.0946951866257153 0.21804043460456 0.182514069466251 0.162384208887415 0.143142571002034
"B4.fasta" 0.194694113857818 0.21819693409056 0.208217457898199 0.247104106402341 0.0843654123668265 0.0665678793238185 0.0946951866257153 0 0.214693040049685 0.180392945114616 0.163319144597877 0.165716385293763
"C1.fasta" 0.267057978132056 0.32111294078503 0.30903989910505 0.332673416600537 0.23605204974733 0.196617254017899 0.21804043460456 0.214693040049685 0 0.0449507118780197 0.0643750756547785 0.106863066031232
"C2.fasta" 0.226269051493597 0.274596174961634 0.263733029368876 0.287747181070771 0.208255448951344 0.173780523983096 0.182514069466251 0.180392945114616 0.0449507118780197 0 0.0698199744716325 0.0876562885759214
"C3.fasta" 0.20281282328081 0.251018190061533 0.242150653403321 0.26073481239094 0.183945208200072 0.140252418994812 0.162384208887415 0.163319144597877 0.0643750756547785 0.0698199744716325 0 0.0901942114304082
"C4.fasta" 0.203254495076256 0.270039734350689 0.261627408613198 0.28890408714088 0.190108726793288 0.143778548137714 0.143142571002034 0.165716385293763 0.106863066031232 0.0876562885759214 0.0901942114304082 0
