"" "clu_res"
"gene1.fasta" "CLUSTER1"
"gene10.fasta" "CLUSTER2"
"gene100.fasta" "CLUSTER3"
"gene101.fasta" "CLUSTER4"
"gene102.fasta" "CLUSTER2"
"gene103.fasta" "CLUSTER2"
"gene104.fasta" "CLUSTER5"
"gene105.fasta" "CLUSTER2"
"gene106.fasta" "CLUSTER6"
"gene107.fasta" "CLUSTER1"
"gene108.fasta" "CLUSTER4"
"gene109.fasta" "CLUSTER7"
"gene11.fasta" "CLUSTER4"
"gene110.fasta" "CLUSTER1"
"gene111.fasta" "CLUSTER4"
"gene112.fasta" "CLUSTER3"
"gene113.fasta" "CLUSTER5"
"gene114.fasta" "CLUSTER3"
"gene115.fasta" "CLUSTER8"
"gene116.fasta" "CLUSTER3"
"gene117.fasta" "CLUSTER2"
"gene118.fasta" "CLUSTER1"
"gene119.fasta" "CLUSTER2"
"gene12.fasta" "CLUSTER1"
"gene120.fasta" "CLUSTER6"
"gene122.fasta" "CLUSTER6"
"gene123.fasta" "CLUSTER1"
"gene124.fasta" "CLUSTER2"
"gene125.fasta" "CLUSTER8"
"gene126.fasta" "CLUSTER8"
"gene127.fasta" "CLUSTER6"
"gene128.fasta" "CLUSTER1"
"gene129.fasta" "CLUSTER4"
"gene13.fasta" "CLUSTER6"
"gene130.fasta" "CLUSTER1"
"gene131.fasta" "CLUSTER3"
"gene132.fasta" "CLUSTER6"
"gene134.fasta" "CLUSTER3"
"gene137.fasta" "CLUSTER1"
"gene138.fasta" "CLUSTER8"
"gene139.fasta" "CLUSTER8"
"gene14.fasta" "CLUSTER8"
"gene140.fasta" "CLUSTER2"
"gene141.fasta" "CLUSTER2"
"gene142.fasta" "CLUSTER4"
"gene143.fasta" "CLUSTER3"
"gene144.fasta" "CLUSTER3"
"gene145.fasta" "CLUSTER3"
"gene146.fasta" "CLUSTER4"
"gene147.fasta" "CLUSTER4"
"gene148.fasta" "CLUSTER6"
"gene15.fasta" "CLUSTER1"
"gene150.fasta" "CLUSTER4"
"gene151.fasta" "CLUSTER2"
"gene152.fasta" "CLUSTER6"
"gene153.fasta" "CLUSTER3"
"gene154.fasta" "CLUSTER3"
"gene155.fasta" "CLUSTER2"
"gene156.fasta" "CLUSTER2"
"gene157.fasta" "CLUSTER8"
"gene158.fasta" "CLUSTER6"
"gene159.fasta" "CLUSTER6"
"gene16.fasta" "CLUSTER4"
"gene161.fasta" "CLUSTER4"
"gene162.fasta" "CLUSTER4"
"gene163.fasta" "CLUSTER4"
"gene164.fasta" "CLUSTER1"
"gene165.fasta" "CLUSTER1"
"gene166.fasta" "CLUSTER5"
"gene167.fasta" "CLUSTER8"
"gene168.fasta" "CLUSTER6"
"gene169.fasta" "CLUSTER6"
"gene17.fasta" "CLUSTER4"
"gene170.fasta" "CLUSTER2"
"gene171.fasta" "CLUSTER6"
"gene172.fasta" "CLUSTER4"
"gene173.fasta" "CLUSTER4"
"gene174.fasta" "CLUSTER2"
"gene175.fasta" "CLUSTER3"
"gene176.fasta" "CLUSTER4"
"gene177.fasta" "CLUSTER4"
"gene178.fasta" "CLUSTER3"
"gene179.fasta" "CLUSTER1"
"gene18.fasta" "CLUSTER8"
"gene180.fasta" "CLUSTER6"
"gene181.fasta" "CLUSTER3"
"gene182.fasta" "CLUSTER4"
"gene183.fasta" "CLUSTER3"
"gene184.fasta" "CLUSTER6"
"gene185.fasta" "CLUSTER4"
"gene188.fasta" "CLUSTER3"
"gene189.fasta" "CLUSTER3"
"gene19.fasta" "CLUSTER4"
"gene190.fasta" "CLUSTER2"
"gene191.fasta" "CLUSTER5"
